año,mes,dia,hora(utc),altura(mm)
2016,1,30,6,157 
2016,1,30,7,94 
2016,1,30,8,187 
2016,1,30,9,407 
2016,1,30,10,690 
2016,1,30,11,966 
2016,1,30,12,1165 
2016,1,30,13,1227 
2016,1,30,14,1128 
2016,1,30,15,901 
2016,1,30,16,605 
2016,1,30,17,309 
2016,1,30,18,87 
2016,1,30,19,2 
2016,1,30,20,77 
2016,1,30,21,293 
2016,1,30,22,598 
2016,1,30,23,912 
2016,1,31,0,1154 
2016,1,31,1,1278 
2016,1,31,2,1260 
2016,1,31,3,1102 
2016,1,31,4,844 
2016,1,31,5,557 
2016,1,31,6,310 
2016,1,31,7,156 
2016,1,31,8,138 
2016,1,31,9,261 
2016,1,31,10,483 
2016,1,31,11,740 
2016,1,31,12,972 
2016,1,31,13,1121 
2016,1,31,14,1135 
2016,1,31,15,1006 
2016,1,31,16,778 
2016,1,31,17,508 
2016,1,31,18,257 
2016,1,31,19,93 
2016,1,31,20,66 
2016,1,31,21,185 
2016,1,31,22,419 
2016,1,31,23,709 
2016,2,1,0,979 
2016,2,1,1,1170 
2016,2,1,2,1250 
2016,2,1,3,1195 
2016,2,1,4,1013 
2016,2,1,5,757 
2016,2,1,6,497 
2016,2,1,7,286 
2016,2,1,8,171 
2016,2,1,9,187 
2016,2,1,10,324 
2016,2,1,11,532 
2016,2,1,12,756 
2016,2,1,13,948 
2016,2,1,14,1055 
2016,2,1,15,1036 
2016,2,1,16,895 
2016,2,1,17,680 
2016,2,1,18,441 
2016,2,1,19,233 
2016,2,1,20,119 
2016,2,1,21,138 
2016,2,1,22,284 
2016,2,1,23,518 
2016,2,2,0,782 
2016,2,2,1,1014 
2016,2,2,2,1170 
2016,2,2,3,1216 
2016,2,2,4,1133 
2016,2,2,5,940 
2016,2,2,6,697 
2016,2,2,7,463 
2016,2,2,8,281 
2016,2,2,9,194 
2016,2,2,10,229 
2016,2,2,11,365 
2016,2,2,12,552 
2016,2,2,13,747 
2016,2,2,14,908 
2016,2,2,15,986 
2016,2,2,16,949 
2016,2,2,17,809 
2016,2,2,18,610 
2016,2,2,19,397 
2016,2,2,20,227 
2016,2,2,21,153 
2016,2,2,22,202 
2016,2,2,23,357 
2016,2,3,0,582 
2016,2,3,1,825 
2016,2,3,2,1033 
2016,2,3,3,1164 
2016,2,3,4,1187 
2016,2,3,5,1088 
2016,2,3,6,894 
2016,2,3,7,663 
2016,2,3,8,446 
2016,2,3,9,281 
2016,2,3,10,210 
2016,2,3,11,252 
2016,2,3,12,379 
2016,2,3,13,549 
2016,2,3,14,726 
2016,2,3,15,871 
2016,2,3,16,935 
2016,2,3,17,892 
2016,2,3,18,756 
2016,2,3,19,568 
2016,2,3,20,374 
2016,2,3,21,229 
2016,2,3,22,180 
2016,2,3,23,240 
2016,2,4,0,397 
2016,2,4,1,618 
2016,2,4,2,853 
2016,2,4,3,1049 
2016,2,4,4,1166 
2016,2,4,5,1175 
2016,2,4,6,1067 
2016,2,4,7,871 
2016,2,4,8,644 
2016,2,4,9,430 
2016,2,4,10,270 
2016,2,4,11,206 
2016,2,4,12,247 
2016,2,4,13,370 
2016,2,4,14,537 
2016,2,4,15,716 
2016,2,4,16,860 
2016,2,4,17,919 
2016,2,4,18,872 
2016,2,4,19,736 
2016,2,4,20,549 
2016,2,4,21,361 
2016,2,4,22,228 
2016,2,4,23,186 
2016,2,5,0,249 
2016,2,5,1,411 
2016,2,5,2,641 
2016,2,5,3,881 
2016,2,5,4,1075 
2016,2,5,5,1187 
2016,2,5,6,1188 
2016,2,5,7,1068 
2016,2,5,8,859 
2016,2,5,9,620 
2016,2,5,10,396 
2016,2,5,11,233 
2016,2,5,12,170 
2016,2,5,13,216 
2016,2,5,14,350 
2016,2,5,15,537 
2016,2,5,16,734 
2016,2,5,17,885 
2016,2,5,18,943 
2016,2,5,19,889 
2016,2,5,20,742 
2016,2,5,21,543 
2016,2,5,22,346 
2016,2,5,23,207 
2016,2,6,0,163 
2016,2,6,1,233 
2016,2,6,2,415 
2016,2,6,3,667 
2016,2,6,4,921 
2016,2,6,5,1122 
2016,2,6,6,1235 
2016,2,6,7,1224 
2016,2,6,8,1078 
2016,2,6,9,842 
2016,2,6,10,577 
2016,2,6,11,334 
2016,2,6,12,162 
2016,2,6,13,104 
2016,2,6,14,171 
2016,2,6,15,339 
2016,2,6,16,565 
2016,2,6,17,790 
2016,2,6,18,953 
2016,2,6,19,1006 
2016,2,6,20,936 
2016,2,6,21,763 
2016,2,6,22,534 
2016,2,6,23,313 
2016,2,7,0,158 
2016,2,7,1,113 
2016,2,7,2,203 
2016,2,7,3,419 
2016,2,7,4,703 
2016,2,7,5,980 
2016,2,7,6,1196 
2016,2,7,7,1307 
2016,2,7,8,1270 
2016,2,7,9,1084 
2016,2,7,10,807 
2016,2,7,11,506 
2016,2,7,12,238 
2016,2,7,13,61 
2016,2,7,14,24 
2016,2,7,15,134 
2016,2,7,16,356 
2016,2,7,17,632 
2016,2,7,18,889 
2016,2,7,19,1060 
2016,2,7,20,1100 
2016,2,7,21,999 
2016,2,7,22,783 
2016,2,7,23,510 
2016,2,8,0,255 
2016,2,8,1,84 
2016,2,8,2,48 
2016,2,8,3,171 
2016,2,8,4,429 
2016,2,8,5,751 
2016,2,8,6,1057 
2016,2,8,7,1288 
2016,2,8,8,1386 
2016,2,8,9,1307 
2016,2,8,10,1071 
2016,2,8,11,746 
2016,2,8,12,404 
2016,2,8,13,113 
2016,2,8,14,-54 
2016,2,8,15,-49 
2016,2,8,16,122 
2016,2,8,17,409 
2016,2,8,18,738 
2016,2,8,19,1025 
2016,2,8,20,1196 
2016,2,8,21,1211 
2016,2,8,22,1064 
2016,2,8,23,791 
2016,2,9,0,466 
2016,2,9,1,175 
2016,2,9,2,-4 
2016,2,9,3,-21 
2016,2,9,4,142 
2016,2,9,5,446 
2016,2,9,6,810 
2016,2,9,7,1146 
2016,2,9,8,1381 
2016,2,9,9,1449 
2016,2,9,10,1321 
2016,2,9,11,1031 
2016,2,9,12,657 
2016,2,9,13,278 
2016,2,9,14,-21 
2016,2,9,15,-157 
2016,2,9,16,-93 
2016,2,9,17,146 
2016,2,9,18,497 
2016,2,9,19,875 
2016,2,9,20,1182 
2016,2,9,21,1341 
2016,2,9,22,1317 
2016,2,9,23,1114 
2016,2,10,0,780 
2016,2,10,1,404 
2016,2,10,2,87 
2016,2,10,3,-91 
2016,2,10,4,-80 
2016,2,10,5,124 
2016,2,10,6,473 
2016,2,10,7,874 
2016,2,10,8,1229 
2016,2,10,9,1452 
2016,2,10,10,1481 
2016,2,10,11,1301 
2016,2,10,12,962 
2016,2,10,13,544 
2016,2,10,14,142 
2016,2,10,15,-142 
2016,2,10,16,-229 
2016,2,10,17,-102 
2016,2,10,18,202 
2016,2,10,19,612 
2016,2,10,20,1027 
2016,2,10,21,1338 
2016,2,10,22,1471 
2016,2,10,23,1400 
2016,2,11,0,1139 
2016,2,11,1,750 
2016,2,11,2,337 
2016,2,11,3,7 
2016,2,11,4,-160 
2016,2,11,5,-119 
2016,2,11,6,125 
2016,2,11,7,511 
2016,2,11,8,935 
2016,2,11,9,1290 
2016,2,11,10,1487 
2016,2,11,11,1472 
2016,2,11,12,1246 
2016,2,11,13,865 
2016,2,11,14,419 
2016,2,11,15,19 
